flag,maturity,strike,Price
put,0.05555555555555555,2650,0.1
put,0.05555555555555555,2700,0.125
put,0.05555555555555555,2750,0.15
put,0.05555555555555555,2775,0.15
put,0.05555555555555555,2800,0.175
put,0.05555555555555555,2825,0.2
put,0.05555555555555555,2850,0.175
put,0.05555555555555555,2875,0.2
put,0.05555555555555555,2900,0.22499999999999998
put,0.05555555555555555,2925,0.25
put,0.05555555555555555,2950,0.22499999999999998
put,0.05555555555555555,2975,0.275
put,0.05555555555555555,3000,0.275
put,0.05555555555555555,3025,0.30000000000000004
put,0.05555555555555555,3050,0.325
put,0.05555555555555555,3060,0.35
put,0.05555555555555555,3070,0.35
put,0.05555555555555555,3075,0.325
put,0.05555555555555555,3080,0.35
put,0.05555555555555555,3090,0.35
put,0.05555555555555555,3100,0.375
put,0.05555555555555555,3110,0.375
put,0.05555555555555555,3120,0.4
put,0.05555555555555555,3125,0.4
put,0.05555555555555555,3130,0.4
put,0.05555555555555555,3140,0.425
put,0.05555555555555555,3150,0.425
put,0.05555555555555555,3160,0.425
put,0.05555555555555555,3170,0.45
put,0.05555555555555555,3175,0.45
put,0.05555555555555555,3180,0.45
put,0.05555555555555555,3190,0.47500000000000003
put,0.05555555555555555,3200,0.47500000000000003
put,0.05555555555555555,3210,0.5
put,0.05555555555555555,3220,0.5
put,0.05555555555555555,3225,0.525
put,0.05555555555555555,3230,0.525
put,0.05555555555555555,3240,0.55
put,0.05555555555555555,3250,0.55
put,0.05555555555555555,3260,0.575
put,0.05555555555555555,3270,0.6
put,0.05555555555555555,3275,0.6
put,0.05555555555555555,3280,0.6
put,0.05555555555555555,3290,0.625
put,0.05555555555555555,3295,0.65
put,0.05555555555555555,3300,0.65
put,0.05555555555555555,3305,0.65
put,0.05555555555555555,3310,0.675
put,0.05555555555555555,3315,0.7
put,0.05555555555555555,3320,0.7
put,0.05555555555555555,3325,0.7
put,0.05555555555555555,3330,0.7
put,0.05555555555555555,3335,0.7250000000000001
put,0.05555555555555555,3340,0.75
put,0.05555555555555555,3345,0.75
put,0.05555555555555555,3350,0.75
put,0.05555555555555555,3355,0.7749999999999999
put,0.05555555555555555,3360,0.8
put,0.05555555555555555,3365,0.8
put,0.05555555555555555,3370,0.8
put,0.05555555555555555,3375,0.825
put,0.05555555555555555,3380,0.85
put,0.05555555555555555,3385,0.85
put,0.05555555555555555,3390,0.85
put,0.05555555555555555,3395,0.875
put,0.05555555555555555,3400,0.9
put,0.05555555555555555,3405,0.9
